"code","id","account_type","chart_template_id/id","name","note","reconcile"
"270","ba_fbih_270","asset_current","l10n_ba.l10n_ba_fbih_chart_template","PDV u primljenim fakturama",,
"271","ba_fbih_271","asset_current","l10n_ba.l10n_ba_fbih_chart_template","PDV plaćen pri uvozu dobara",,
"272","ba_fbih_272","asset_current","l10n_ba.l10n_ba_fbih_chart_template","PDV sadržan u datim avansima",,
"273","ba_fbih_273","asset_current","l10n_ba.l10n_ba_fbih_chart_template","PDV obračunat na usluge stranih lica",,
"274","ba_fbih_274","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Paušalni iznosi PDV-a isplaćeni poljoprivrednicima",,
"275","ba_fbih_275","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ulazni porez uplaćen po posebnoj šemi",,
"276","ba_fbih_276","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ulazni porez na koji još nije stečeno pravo odbitka",,
"278","ba_fbih_278","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Druga potraživanja iz osnova PDV-a",,
"279","ba_fbih_279","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja za razliku ulaznog poreza i obaveza za PDV",,
"280","ba_fbih_280","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Unaprijed plaćeni rashodi",,
"281","ba_fbih_281","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Potraživanja za nefakturisani prihod",,
"282","ba_fbih_282","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Razgraničeni troškovi po osnovu obaveza",,
"283","ba_fbih_283","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Nerealizovani gubici od držanja ulaganja u vrijednosne papire",,
"288","ba_fbih_288","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Odložena porezna sredstva",,
"289","ba_fbih_289","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Ostala kratkoročna razgraničenja",,
"290","ba_fbih_290","asset_current","l10n_ba.l10n_ba_fbih_chart_template","Gubitak iznad visine kapitala",,
"300","ba_fbih_300","equity","l10n_ba.l10n_ba_fbih_chart_template","Dionički kapital",,
"302","ba_fbih_302","equity","l10n_ba.l10n_ba_fbih_chart_template","Udjeli članova društva sa ograničenom odgovornošću",,
"303","ba_fbih_303","equity","l10n_ba.l10n_ba_fbih_chart_template","Zadružni udjeli",,
"304","ba_fbih_304","equity","l10n_ba.l10n_ba_fbih_chart_template","Ulozi",,
"305","ba_fbih_305","equity","l10n_ba.l10n_ba_fbih_chart_template","Državni kapital",,
"309","ba_fbih_309","equity","l10n_ba.l10n_ba_fbih_chart_template","Ostali osnovni kapital",,
"310","ba_fbih_310","equity","l10n_ba.l10n_ba_fbih_chart_template","Upisane neuplaćene dionice",,
"312","ba_fbih_312","equity","l10n_ba.l10n_ba_fbih_chart_template","Upisani neuplaćeni udjeli",,
"319","ba_fbih_319","equity","l10n_ba.l10n_ba_fbih_chart_template","Ostali upisani neuplaćeni kapital",,
"320","ba_fbih_320","equity","l10n_ba.l10n_ba_fbih_chart_template","Emisiona premija",,
"321","ba_fbih_321","equity","l10n_ba.l10n_ba_fbih_chart_template","Zakonske rezerve",,
"322","ba_fbih_322","equity","l10n_ba.l10n_ba_fbih_chart_template","Statutarne i druge rezerve",,
